example_id                                                 | status  | run_time        |
./spec/requests/formularios_spec.rb[1:1:2:1]               | failed  | 0.00439 seconds |
./spec/requests/formularios_spec.rb[1:1:3:1]               | failed  | 0.00586 seconds |
./spec/requests/passwords_spec.rb[1:1:1:1]                 | passed  | 0.02796 seconds |
./spec/requests/passwords_spec.rb[1:1:2:1]                 | passed  | 0.04886 seconds |
./spec/requests/passwords_spec.rb[1:1:3:1]                 | passed  | 0.02513 seconds |
./spec/requests/passwords_spec.rb[1:2:1:1]                 | passed  | 0.0273 seconds  |
./spec/requests/passwords_spec.rb[1:2:2:1]                 | passed  | 0.02669 seconds |
./spec/requests/passwords_spec.rb[1:2:3:1]                 | passed  | 0.06775 seconds |
./spec/requests/passwords_spec.rb[1:2:4:1]                 | passed  | 0.0249 seconds  |
./spec/requests/templates_spec.rb[1:1:1:1]                 | passed  | 0.00854 seconds |
./spec/requests/templates_spec.rb[1:1:2:1]                 | passed  | 0.01992 seconds |
./spec/requests/templates_spec.rb[1:1:3:1]                 | passed  | 0.65065 seconds |
./spec/requests/turmas_spec.rb[1:1:1:1]                    | passed  | 0.11749 seconds |
./spec/requests/turmas_spec.rb[1:1:2:1]                    | passed  | 0.08074 seconds |
./spec/requests/turmas_spec.rb[1:1:3:1]                    | passed  | 0.08706 seconds |
./spec/requests/turmas_spec.rb[1:1:4:1]                    | passed  | 0.0823 seconds  |
./spec/requests/turmas_spec.rb[1:1:5:1]                    | passed  | 0.07325 seconds |
./spec/requests/turmas_spec.rb[1:2:1:1]                    | passed  | 0.11951 seconds |
./spec/requests/turmas_spec.rb[1:2:2:1]                    | passed  | 0.07904 seconds |
./spec/system/cadastrar_usuarios_spec.rb[1:1]              | passed  | 4.55 seconds    |
./spec/system/cadastrar_usuarios_spec.rb[1:2]              | passed  | 0.06684 seconds |
./spec/system/cadastrar_usuarios_spec.rb[1:3]              | passed  | 0.10694 seconds |
./spec/system/cadastrar_usuarios_spec.rb[1:4]              | passed  | 0.3377 seconds  |
./spec/system/cadastrar_usuarios_spec.rb[1:5]              | passed  | 0.45645 seconds |
./spec/system/login_spec.rb[1:1]                           | passed  | 0.05728 seconds |
./spec/system/login_spec.rb[1:2]                           | passed  | 0.05624 seconds |
./spec/system/login_spec.rb[1:3]                           | passed  | 0.04068 seconds |
./spec/system/login_spec.rb[1:4]                           | passed  | 0.04799 seconds |
